,Benchmark,Size,Solver,Solver Version,Solver Release Year,Status,Termination Condition,Runtime (s),Memory Usage (MB),Objective Value,Max Integrality Violation,Duality Gap,Reported Runtime (s),Timeout,Hostname,Run ID,Timestamp,bench-size
243,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,180.40002376899795,,2813303766.2,,,,,benchmark-instance-standard-04,20251027_141109_batch,2025-10-28 00:26:41.974427,reference-benchmark-reference
244,genx-5_three_zones_w_piecewise_fuel,3-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,166.38,,,,3600.0,3600.0,benchmark-instance-standard-04,20251027_141109_batch,2025-10-28 00:26:41.974563,genx-5_three_zones_w_piecewise_fuel-3-1h
245,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,180.44688417999717,,2813303766.2,,,,,benchmark-instance-standard-04,20251027_141109_batch,2025-10-28 01:29:42.449563,reference-benchmark-reference
246,genx-5_three_zones_w_piecewise_fuel,3-1h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,166.276,,,,3600.0,3600.0,benchmark-instance-standard-04,20251027_141109_batch,2025-10-28 01:29:42.449694,genx-5_three_zones_w_piecewise_fuel-3-1h
247,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,180.46100342799764,,2813303766.2,,,,,benchmark-instance-standard-04,20251027_141109_batch,2025-10-28 02:32:42.943699,reference-benchmark-reference
248,pypsa-eur-elec-trex,3-12h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,20.590254269000013,167.232,7398190501.7,,,20.590254269000013,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:19:26.239203,pypsa-eur-elec-trex-3-12h
249,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,180.95640678900003,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:22:48.358577,reference-benchmark-reference
250,pypsa-eur-elec-trex,3-12h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,12.193987479000045,191.656,7398190483.4,,,12.193987479000045,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:22:48.358707,pypsa-eur-elec-trex-3-12h
251,pypsa-power+ely+battery,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,86.86849945500006,199.916,31714138210.0,,,86.86849945500006,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:23:01.158998,pypsa-power+ely+battery-1-1h
252,pypsa-power+ely+battery,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,61.517347212,419.556,31714138182.0,,,61.517347212,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:24:28.597077,pypsa-power+ely+battery-1-1h
253,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day332,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,17.34534729699999,250.708,221968.10409,,,17.34534729699999,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:25:30.672255,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day332-1-1h
254,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day332,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,17.266050190999977,250.096,221968.10409,,,17.266050190999977,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:25:48.588878,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day332-1-1h
255,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon12_Day29,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,83.76241534200005,278.408,316166.19228,,,83.76241534200005,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:26:06.415546,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon12_Day29-1-1h
256,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon12_Day29,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,83.66852798699995,283.068,316166.19228,,,83.66852798699995,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:27:30.739421,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon12_Day29-1-1h
257,genx-10_IEEE_9_bus_DC_OPF-no_uc,9-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,48.26170123700001,166.604,16995.001839,,,48.26170123700001,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:28:54.985368,genx-10_IEEE_9_bus_DC_OPF-no_uc-9-1h
258,genx-10_IEEE_9_bus_DC_OPF-no_uc,9-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,23.443241661,303.008,16995.001811,,,23.443241661,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:29:43.808441,genx-10_IEEE_9_bus_DC_OPF-no_uc-9-1h
259,genx-6_three_zones_w_multistage-no_uc,3-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,48.21283776100006,167.048,16995.001839,,,48.21283776100006,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:30:07.811411,genx-6_three_zones_w_multistage-no_uc-3-1h
260,genx-6_three_zones_w_multistage-no_uc,3-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,23.31250071300008,304.24,16995.001811,,,23.31250071300008,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:30:56.584805,genx-6_three_zones_w_multistage-no_uc-3-1h
261,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day314,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,392.750423022,505.496,902579.35041,,,392.750423022,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:31:20.456744,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day314-1-1h
262,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day314,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,393.740944143,498.096,902579.35041,,,393.740944143,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:37:53.772672,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day314-1-1h
263,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon24_Day29,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,862.3956022929999,745.676,784853.99967,,,862.3956022929999,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:44:28.074400,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon24_Day29-1-1h
264,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon24_Day29,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,876.9940589349999,681.204,784853.99967,,,876.9940589349999,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 14:58:51.033643,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon24_Day29-1-1h
265,pypsa-eur-elec-op-ucconv,10-24h,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.464,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 15:13:28.591510,pypsa-eur-elec-op-ucconv-10-24h
266,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,182.5352124279998,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 16:16:31.160272,reference-benchmark-reference
267,pypsa-eur-elec-op-ucconv,10-24h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,167.82,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 16:16:31.160399,pypsa-eur-elec-op-ucconv-10-24h
268,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,180.8745959219996,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 17:19:32.063443,reference-benchmark-reference
269,pglib_opf_case2848,2848-NA,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,166.956,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 17:19:32.063573,pglib_opf_case2848-2848-NA
270,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,181.6319490450005,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 18:22:33.732068,reference-benchmark-reference
271,pglib_opf_case2848,2848-NA,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.312,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 18:22:33.732193,pglib_opf_case2848-2848-NA
272,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,181.439612770002,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 19:25:35.212336,reference-benchmark-reference
273,pglib_opf_case1803_snem,1803-NA,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.896,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 19:25:35.212464,pglib_opf_case1803_snem-1803-NA
274,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,181.9747157919992,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 20:28:37.214795,reference-benchmark-reference
275,pglib_opf_case1803_snem,1803-NA,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.644,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 20:28:37.214925,pglib_opf_case1803_snem-1803-NA
276,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,181.29681182900092,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 21:31:38.541395,reference-benchmark-reference
277,temoa-US_9R_TS_NZ_trunc_4periods,9-12,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,430.28154099600215,1788.924,37165168.628,,,430.28154099600215,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 21:31:38.541517,temoa-US_9R_TS_NZ_trunc_4periods-9-12
278,temoa-US_9R_TS_NZ_trunc_4periods,9-12,highs-hipo-64,1.12.0-hipo,2025.0,warning,Unknown,605.3750030119991,2274.984,37165169.284,,,605.3750030119991,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 21:38:49.398018,temoa-US_9R_TS_NZ_trunc_4periods-9-12
279,pypsa-eur-sec,2-3h,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,166.032,,,,3600.0,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 21:48:55.351145,pypsa-eur-sec-2-3h
280,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,180.8060193359997,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 22:51:56.187760,reference-benchmark-reference
281,pypsa-eur-sec,2-3h,highs-hipo-64,1.12.0-hipo,2025.0,OOM,Out of Memory,,,,,,,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 22:51:56.187890,pypsa-eur-sec-2-3h
282,pglib_opf_case162_ieee_dtc,162-NA,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,2207.463075411997,266.288,97704.88701,,,2207.463075411997,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 22:52:19.805962,pglib_opf_case162_ieee_dtc-162-NA
283,pglib_opf_case162_ieee_dtc,162-NA,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,2207.403410158004,267.976,97704.88701,,,2207.403410158004,3600.0,benchmark-instance-standard-05,20251027_141109_batch,2025-10-27 23:29:09.389194,pglib_opf_case162_ieee_dtc-162-NA
284,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,187.44523038400075,,2813303766.2,,,,,benchmark-instance-standard-05,20251027_141109_batch,2025-10-28 00:09:04.824080,reference-benchmark-reference
285,tulipa-1_EU_investment_simple,28-52.1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,28.272812017999968,442.348,520247747.68,,,28.272812017999968,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:19:25.763746,tulipa-1_EU_investment_simple-28-52.1h
286,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,185.82930122600004,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:23:00.451062,reference-benchmark-reference
287,tulipa-1_EU_investment_simple,28-52.1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,28.275923472999978,446.48,520247747.68,,,28.275923472999978,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:23:00.451196,tulipa-1_EU_investment_simple-28-52.1h
288,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon12_Day332,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,25.16054567499998,179.86,238370.85407,,,25.16054567499998,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:23:29.357613,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon12_Day332-1-1h
289,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon12_Day332,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,25.199723833000007,180.82,238370.85407,,,25.199723833000007,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:23:55.084523,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon12_Day332-1-1h
290,pypsa-power+ely-co2-mod,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,51.73223674400003,279.5,84668286067.0,,,51.73223674400003,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:24:20.861100,pypsa-power+ely-co2-mod-1-1h
291,pypsa-power+ely-co2-mod,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,51.60599028900003,279.34,84668286067.0,,,51.60599028900003,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:25:13.167217,pypsa-power+ely-co2-mod-1-1h
292,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day29,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,106.281169858,328.612,316796.61815,,,106.281169858,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:26:05.335880,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day29-1-1h
293,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day29,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,106.55156668399992,320.12,316796.61815,,,106.55156668399992,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:27:52.188941,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon12_Day29-1-1h
294,times-etimeseu-europe-elec+heat-single_stage,29-64ts,highs-hipo-ipm,1.12.0-hipo,2025.0,warning,Unknown,22.741826171999943,498.452,430451.36502,,,22.741826171999943,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:29:39.306122,times-etimeseu-europe-elec+heat-single_stage-29-64ts
295,times-etimeseu-europe-elec+heat-single_stage,29-64ts,highs-hipo-64,1.12.0-hipo,2025.0,warning,Unknown,52.26101208600005,524.272,430451.36634,,,52.26101208600005,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:30:02.616241,times-etimeseu-europe-elec+heat-single_stage-29-64ts
296,times-nz-kea,2-24h,highs-hipo-ipm,1.12.0-hipo,2025.0,warning,Unknown,182.60020479699995,431.304,1213210.3977,,,182.60020479699995,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:30:55.437457,times-nz-kea-2-24h
297,times-nz-kea,2-24h,highs-hipo-64,1.12.0-hipo,2025.0,warning,Unknown,668.64988412,1664.42,1213210.3967,,,668.64988412,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:33:58.604363,times-nz-kea-2-24h
298,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day29,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,338.10576479299993,455.476,1047440.6488,,,338.10576479299993,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:45:07.817356,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day29-1-1h
299,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day29,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,338.04657985699987,458.972,1047440.6488,,,338.04657985699987,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:50:46.482944,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day29-1-1h
300,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day332,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,1370.63359519,967.98,893670.88811,,,1370.63359519,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 14:56:25.095061,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day332-1-1h
301,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day332,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,1370.747662316,964.156,893670.88811,,,1370.747662316,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 15:19:16.287476,Sienna_modified_RTS_GMLC_DA_sys_NetPTDF_Horizon24_Day332-1-1h
302,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.4504216719997,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 15:45:14.052876,reference-benchmark-reference
303,pypsa-eur-elec-op,2-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,539.5911631379995,768.364,8913497222.4,,,539.5911631379995,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 15:45:14.053006,pypsa-eur-elec-op-2-1h
304,pypsa-eur-elec-op,2-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,715.165275243,3535.024,8913497196.0,,,715.165275243,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 15:54:14.230616,pypsa-eur-elec-op-2-1h
305,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon24_Day332,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.608,,,,3600.0,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 16:06:09.962780,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon24_Day332-1-1h
306,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.7976714470005,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 17:09:16.785964,reference-benchmark-reference
307,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon24_Day332,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.616,,,,3600.0,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 17:09:16.786095,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon24_Day332-1-1h
308,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,185.7222633049987,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 18:12:22.545839,reference-benchmark-reference
309,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon48_Day29,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,2914.628401889002,1085.744,1768933.702,,,2914.628401889002,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 18:12:22.545972,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon48_Day29-1-1h
310,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon48_Day29,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,2911.494763036,1065.856,1768933.702,,,2911.494763036,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 19:00:57.741364,Sienna_modified_RTS_GMLC_DA_sys_NetCopperPlate_Horizon48_Day29-1-1h
311,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,185.8204653709981,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 19:52:35.630377,reference-benchmark-reference
312,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon48_Day314,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.492,,,,3600.0,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 19:52:35.630508,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon48_Day314-1-1h
313,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.56631072299933,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 20:55:42.217435,reference-benchmark-reference
314,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon48_Day314,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,166.532,,,,3600.0,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 20:55:42.217568,Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon48_Day314-1-1h
315,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,185.9279159769976,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 21:58:48.175063,reference-benchmark-reference
316,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29,1-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,ok,Optimal,3545.2404751190006,1268.756,1768633.6574,,,3545.2404751190006,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 21:58:48.175198,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29-1-1h
317,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.05500638899684,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 23:01:00.045530,reference-benchmark-reference
318,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29,1-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,3546.3681402280017,1242.468,1768633.6574,,,3546.3681402280017,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-27 23:01:00.045664,Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29-1-1h
319,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.16978188099893,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-28 00:03:13.162945,reference-benchmark-reference
320,genx-3_three_zones_w_co2_capture,3-1h,highs-hipo-ipm,1.12.0-hipo,2025.0,TO,Timeout,3600.0,165.584,,,,3600.0,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-28 00:03:13.163080,genx-3_three_zones_w_co2_capture-3-1h
321,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.34991995999732,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-28 01:06:19.545925,reference-benchmark-reference
322,genx-3_three_zones_w_co2_capture,3-1h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,3600.0,166.508,,,,3600.0,3600.0,benchmark-instance-standard-06,20251027_141109_batch,2025-10-28 01:06:19.546061,genx-3_three_zones_w_co2_capture-3-1h
323,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,186.16654754400224,,2813303766.2,,,,,benchmark-instance-standard-06,20251027_141109_batch,2025-10-28 02:09:25.745473,reference-benchmark-reference
